Batch,Photoperiod,Time,Genotype,Starch,Maltose,Sucrose,Fructose,Glucose,Fumarate,Malate
1,LD,0,wt,7.286069516,0.09632166,0.761065926,0.098664814,0.28458561,0.571408862,0.620133732
1,LD,0,wt,10.35808331,0.321230613,1.37197145,0.293455737,0.661067916,1.2809108,0.870454355
1,LD,0,wt,11.88294995,0.264277626,1.42267592,0.173956906,0.548091464,1.496230519,1.240314631
1,LD,0,wt,10.37018993,0.211608922,1.299959697,0.472992305,0.660223425,1.18619272,0.757932835
1,LD,0,wt,11.3112004,0.288204593,1.321039023,0.236575361,0.518590674,1.258365888,0.580822663
1,LD,0.041666667,wt,9.240687041,0.024248194,1.546007705,0.681550771,0.786281027,1.748014899,1.879201363
1,LD,0.041666667,wt,11.31282839,0.039651518,1.561487623,0.920496019,0.819443143,1.90355657,1.623659609
1,LD,0.041666667,wt,9.258806035,0.017812751,1.403312354,0.639507589,0.703399858,1.487962735,1.038576144
1,LD,0.041666667,wt,13.72685597,0.052564173,1.780498748,1.375834828,1.015045662,2.144882069,1.866393724
1,LD,0.041666667,wt,10.24076369,0.038033806,1.540291278,0.822102924,0.787000216,1.479158405,0.828140692
1,LD,0.083333333,wt,13.94246028,0.031161074,1.30954845,0.882053102,0.840228456,1.690013453,1.231187334
1,LD,0.083333333,wt,17.41594875,0.030900002,1.414793132,1.015290805,0.931487348,2.298074264,1.940459611
1,LD,0.083333333,wt,11.41316166,0.027722333,1.395232466,1.061730881,0.888667732,1.73429733,1.28040941
1,LD,0.083333333,wt,10.61899893,0.037609792,1.340967565,0.789982261,0.676469342,1.587041349,0.943706399
1,LD,0.083333333,wt,14.70272726,0.029653592,1.422274156,1.568699967,1.241720165,1.906013667,1.802501682
1,LD,0.166666667,wt,19.86936336,0.011446891,1.067507597,0.277482785,0.488044827,1.296974995,1.376641719
1,LD,0.166666667,wt,18.3397738,0.012022196,1.15996881,0.609052643,0.784727866,1.383300628,1.323933106
1,LD,0.166666667,wt,20.61067467,0.014115051,0.990062642,0.858120837,0.714484932,1.531167939,1.73589693
1,LD,0.166666667,wt,16.95170503,0.030347996,1.364626324,1.230823491,1.049388818,1.85121203,1.658644167
1,LD,0.166666667,wt,18.55750628,0.028232648,1.380601887,1.21829616,1.05098597,1.906630948,1.904477456
1,LD,0.333333333,wt,29.38045195,0.012391565,1.278959406,0.414478033,0.582013559,2.224815817,2.007673796
1,LD,0.333333333,wt,29.81292746,0.009183544,1.173332576,0.244609159,0.578407544,1.615501202,1.370043069
1,LD,0.333333333,wt,24.68369015,0.018679906,1.327892559,0.333617791,0.596602317,1.867081979,2.231499933
1,LD,0.333333333,wt,21.94817062,0.017229292,1.422187304,0.438916258,0.772392823,2.090721295,2.336371163
1,LD,0.333333333,wt,20.91035689,0.017368358,1.243503186,0.320043058,0.715742656,1.841935645,1.211980037
1,LD,0.5,wt,39.35573356,0.007789476,1.168749895,0.164274646,0.397193637,1.760576644,1.831927469
